num;callsign;dmrid;name;country;ctry
1;1248418;3139320;JAMES;United States;
2;2D0JEA;2356015;Jeanie;United Kingdom;IMN
3;2D0YLX;2356005;David;United Kingdom;IMN
4;2E0AIV;2351025;Andy;United Kingdom;GBR
5;2E0AYQ;2352601;Martin;United Kingdom;GBR
6;2E0BAY;2352465;Andrew;United Kingdom;GBR
7;2E0BCI;2351233;Alec;United Kingdom;GBR
8;2E0BCM;2341076;BRIAN;United Kingdom;GBR
9;2E0BEQ;2352386;David;United Kingdom;GBR
10;2E0BFT;2352082;David;United Kingdom;GBR
11;2E0BFZ;2352105;Peter;United Kingdom;GBR
12;2E0BHE;2341149;Steve;United Kingdom;GBR
13;2E0BHZ ;2351348;Trevor;United Kingdom;GBR
14;2E0BIB;2351016;Russ;United Kingdom;GBR
15;2E0BKS;2351395;Geff;United Kingdom;GBR
16;2E0BRI;2341095;BRIAN;United Kingdom;GBR
17;2E0BRQ;2351467;Keith;United Kingdom;GBR
18;2E0BSL;2352001;Clive;United Kingdom;GBR
19;2E0BWF;2351656;Richard;United Kingdom;GBR
20;2E0BWF;2352032;Richard;United Kingdom;GBR
21;2E0BZU;2352842;Peter;United Kingdom;GBR
22;2E0CBQ;2352629;Roderick;United Kingdom;GBR
23;2E0CGR;2352800;Mark;United Kingdom;GBR
24;2E0CJH;2352120;Caroline;United Kingdom;GBR
25;2E0CKG;2352417;Charlotte;United Kingdom;GBR
26;2E0CKJ;2351496;Paul;United Kingdom;GBR
27;2E0CKS;2352873;Anthony;United Kingdom;GBR
28;2E0CQA;2352770;Leslie;United Kingdom;GBR
29;2E0CRS;2351558;Chris;United Kingdom;GBR
30;2E0CSG;2352352;Derek;United Kingdom;GBR
31;2E0CUU;2351546;Malcolm;United Kingdom;GBR
32;2E0CVQ;2352776;Steve;United Kingdom;GBR
33;2E0CZI;2352898;Paul;United Kingdom;GBR
34;2E0DAT;2351531;David;United Kingdom;GBR
35;2E0DBY;2351436;Christopher;United Kingdom;GBR
36;2E0DCC;2352264;David;United Kingdom;GBR
37;2E0DCE;2352201;David;United Kingdom;GBR
38;2E0DCZ;2351153;David;United Kingdom;GBR
39;2E0DDD;2352777;Robert;United Kingdom;GBR
40;2E0DDM;2351108;Bernard;United Kingdom;GBR
41;2E0DDR;2351518;David;United Kingdom;GBR
42;2E0DDV;2352598;Mike;United Kingdom;GBR
43;2E0DHT;2351912;Jason;United Kingdom;GBR
44;2E0DIQ;2352916;Andrew;United Kingdom;GBR
45;2E0DIU;2341235;IOAN;United Kingdom;GBR
46;2E0DIZ;2352609;Stephen;United Kingdom;GBR
47;2E0DJU;2351821;Tim;United Kingdom;GBR
48;2E0DKB;2352505;Darren;United Kingdom;GBR
49;2E0DKC;2352027;David;United Kingdom;GBR
50;2E0DMB;2352901;DAVID;United Kingdom;GBR
51;2E0DOB;2352572;Paul;United Kingdom;GBR
52;2E0DOB;2352169;Paul;United Kingdom;GBR
53;2E0DPD;2341184;Bernard;United Kingdom;GBR
54;2E0DPO;2352396;David;United Kingdom;GBR
55;2E0DTB;2352485;David;United Kingdom;GBR
56;2E0DUO;2352820;Anita;United Kingdom;GBR
57;2E0DVD;2352269;Tony;United Kingdom;GBR
58;2E0DVX;2351677;Nick;United Kingdom;GBR
59;2E0DWA;2352127;Andrew;United Kingdom;GBR
60;2E0DWZ;2352886;Mark;United Kingdom;GBR
61;2E0DXO;2351816;Paul;United Kingdom;GBR
62;2E0DXO;2351171;Paul;United Kingdom;GBR
63;2E0EAZ;2351846;Edward;United Kingdom;GBR
64;2E0EER;2341033;Jason;United Kingdom;GBR
65;2E0EEY;2352846;Chris;United Kingdom;GBR
66;2E0EMF;2351449;Wayne;United Kingdom;GBR
67;2E0EMF;2352203;Wayne;United Kingdom;GBR
68;2E0EMO;2352525;Mitchell;United Kingdom;GBR
69;2E0ENN;2352005;Sean;United Kingdom;GBR
70;2E0EOG;2352455;THERESE;United Kingdom;GBR
71;2E0EPO;2352046;Pete;United Kingdom;GBR
72;2E0EVP;2351612;Martin;United Kingdom;GBR
73;2E0FBH;2352479;Zheng;United Kingdom;GBR
74;2E0FBK;2341226;Anthony;United Kingdom;GBR
75;2E0FCH;2352544;Adam;United Kingdom;GBR
76;2E0FDG;2351390;Brendon;United Kingdom;GBR
77;2E0FEI;2352852;William;United Kingdom;GBR
78;2E0FHR;2351452;Kelvin;United Kingdom;GBR
79;2E0FLY;2351698;Adam;United Kingdom;GBR
80;2E0FMF;2351318;Andrew;United Kingdom;GBR
81;2E0FMX;2351342;Nithin;United Kingdom;GBR
82;2E0FVL;2351876;Pete;United Kingdom;GBR
83;2E0GBF;2351234;Phil;United Kingdom;GBR
84;2E0GBK;2341023;Keith;United Kingdom;GBR
85;2E0GFB;2351692;Adam;United Kingdom;GBR
86;2E0GIG;2351523;Richard;United Kingdom;GBR
